"schemaVersion","writtenRecordId","reviewerId","mark","status","coveredConceptIds","missingConceptIds","incorrectOrUnsupportedClaims","feedbackUsefulness","disagreementReason","completedAt"
"human-written-annotation.v1","written-record:SCI-BN-PASTE-01:correct","R1","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:SCI-BN-PASTE-01:correct","R2","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:SCI-BN-PASTE-01:correct","ADJ","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:SCI-BN-PASTE-01:partially_correct","R1","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:SCI-BN-PASTE-01:partially_correct","R2","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:SCI-BN-PASTE-01:partially_correct","ADJ","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:SCI-BN-PASTE-01:retry-correct","R1","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:SCI-BN-PASTE-01:retry-correct","R2","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:SCI-BN-PASTE-01:retry-correct","ADJ","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:SCI-EN-PDF-01:incorrect","R1","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:SCI-EN-PDF-01:incorrect","R2","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:SCI-EN-PDF-01:incorrect","ADJ","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:SCI-EN-PDF-01:empty","R1","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:SCI-EN-PDF-01:empty","R2","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:SCI-EN-PDF-01:empty","ADJ","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:SCI-EN-PDF-01:retry-correct","R1","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:SCI-EN-PDF-01:retry-correct","R2","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:SCI-EN-PDF-01:retry-correct","ADJ","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:CIV-MIX-PDF-01:correct","R1","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:CIV-MIX-PDF-01:correct","R2","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:CIV-MIX-PDF-01:correct","ADJ","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:CIV-MIX-PDF-01:partially_correct","R1","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:CIV-MIX-PDF-01:partially_correct","R2","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:CIV-MIX-PDF-01:partially_correct","ADJ","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:VOC-EN-PASTE-01:incorrect","R1","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:VOC-EN-PASTE-01:incorrect","R2","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:VOC-EN-PASTE-01:incorrect","ADJ","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:VOC-EN-PASTE-01:empty","R1","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:VOC-EN-PASTE-01:empty","R2","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:VOC-EN-PASTE-01:empty","ADJ","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:VOC-EN-PASTE-01:retry-correct","R1","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:VOC-EN-PASTE-01:retry-correct","R2","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:VOC-EN-PASTE-01:retry-correct","ADJ","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:VOC-MIX-IMG-01:unsupported_claim","R1","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:VOC-MIX-IMG-01:unsupported_claim","R2","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:VOC-MIX-IMG-01:unsupported_claim","ADJ","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:VOC-MIX-IMG-01:missing_key_concept","R1","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:VOC-MIX-IMG-01:missing_key_concept","R2","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:VOC-MIX-IMG-01:missing_key_concept","ADJ","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:VOC-MIX-IMG-01:retry-correct","R1","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:VOC-MIX-IMG-01:retry-correct","R2","","","[]","[]","[]","","",""
"human-written-annotation.v1","written-record:VOC-MIX-IMG-01:retry-correct","ADJ","","","[]","[]","[]","","",""
