"metric","count","denominator","percentage","status"
"extraction.page_success","9","9","100","measured"
"extraction.routing_accuracy","9","9","100","measured"
"extraction.material_correction_pages","2","9","22.22","measured"
"questions.deterministic_grounding","30","30","100","measured"
"questions.deterministic_key_validity","30","30","100","measured"
"questions.duplicates","2","30","6.67","measured"
"questions.human_accepted","0","0","","pending_human_review"
"questions.human_grounded_accepted","0","0","","pending_human_review"
"questions.human_correct_keys","0","0","","pending_human_review"
"questions.human_ambiguous","0","0","","pending_human_review"
"written.exact_agreement","0","0","","pending_human_review"
"written.within_one_mark","0","0","","pending_human_review"
"written.status_agreement","0","0","","pending_human_review"
"reliability.first_pass_valid","24","51","47.06","measured"
"reliability.final_valid","40","51","78.43","measured"
"reliability.repair_rate","23","51","45.1","measured"
"reliability.repair_success","16","23","69.57","measured"
"adaptive.valid","3","6","50","measured"
"baseline.parse_success","6","6","100","measured"
"baseline.evidence_transparency","30","30","100","measured"
