"operationId","materialId","operationType","failureCategory","repairAttempted","latencyMs","publicImpact"
"analysis:CIV-BN-IMG-01","CIV-BN-IMG-01","analysis","EVIDENCE_INVALID","true","26252","dependent structured path unavailable"
"analysis:CIV-BN-IMG-01:attempt1","CIV-BN-IMG-01","analysis","RATE_LIMITED","false","55729","dependent structured path unavailable"
"analysis:VOC-EN-PASTE-01:attempt1","VOC-EN-PASTE-01","analysis","UNAVAILABLE","false","5797","dependent structured path unavailable"
"analysis:VOC-MIX-IMG-01:attempt1","VOC-MIX-IMG-01","analysis","EVIDENCE_INVALID","true","24884","dependent structured path unavailable"
"assessment:CIV-MIX-PDF-01:r1:attempt1","CIV-MIX-PDF-01","assessment_generation","INVALID_OUTPUT","true","49254","operation rejected atomically"
"assessment:VOC-EN-PASTE-01:r1","VOC-EN-PASTE-01","assessment_generation","INVALID_OUTPUT","true","51241","operation rejected atomically"
"assessment:VOC-EN-PASTE-01:r1:attempt1","VOC-EN-PASTE-01","assessment_generation","INVALID_OUTPUT","true","62391","operation rejected atomically"
"retry-written:VOC-MIX-IMG-01:correct","VOC-MIX-IMG-01","written_grading","TIMEOUT","false","55010","operation rejected atomically"
"revision:CIV-MIX-PDF-01","CIV-MIX-PDF-01","revision_retry_generation","INVALID_OUTPUT","true","75495","operation rejected atomically"
"revision:CIV-MIX-PDF-01:attempt1","CIV-MIX-PDF-01","revision_retry_generation","INVALID_OUTPUT","true","75112","operation rejected atomically"
"written:SCI-EN-PDF-01:incorrect:attempt1","SCI-EN-PDF-01","written_grading","TIMEOUT","false","55021","operation rejected atomically"
