"operationId","materialId","operationType","failureCategory","repairAttempted","latencyMs","publicImpact"
"analysis:VOC-EN-PASTE-02","VOC-EN-PASTE-02","analysis","INVALID_OUTPUT","true","129523","dependent structured path unavailable"
"assessment:CIV-BN-IMG-01:r1","CIV-BN-IMG-01","assessment_generation","INVALID_OUTPUT","true","58121","operation rejected atomically"
"assessment:CIV-BN-IMG-01:r2","CIV-BN-IMG-01","assessment_generation","INVALID_OUTPUT","true","32973","operation rejected atomically"
"assessment:CIV-BN-IMG-01:r3","CIV-BN-IMG-01","assessment_generation","INVALID_OUTPUT","true","84029","operation rejected atomically"
"assessment:CIV-BN-PASTE-02:r1","CIV-BN-PASTE-02","assessment_generation","INVALID_OUTPUT","true","54972","operation rejected atomically"
"assessment:CIV-BN-PASTE-02:r2","CIV-BN-PASTE-02","assessment_generation","INVALID_OUTPUT","true","43753","operation rejected atomically"
"assessment:CIV-MIX-PDF-01:r1","CIV-MIX-PDF-01","assessment_generation","INVALID_OUTPUT","true","52435","operation rejected atomically"
"assessment:CIV-MIX-PDF-01:r2","CIV-MIX-PDF-01","assessment_generation","INVALID_OUTPUT","true","91777","operation rejected atomically"
"assessment:SCI-BN-PASTE-01:r1","SCI-BN-PASTE-01","assessment_generation","INVALID_OUTPUT","true","38148","operation rejected atomically"
"assessment:SCI-BN-PASTE-01:r2","SCI-BN-PASTE-01","assessment_generation","INVALID_OUTPUT","true","42785","operation rejected atomically"
"assessment:SCI-BN-PASTE-01:r3","SCI-BN-PASTE-01","assessment_generation","INVALID_OUTPUT","true","59078","operation rejected atomically"
"assessment:SCI-EN-PDF-01:r1","SCI-EN-PDF-01","assessment_generation","INVALID_OUTPUT","true","33878","operation rejected atomically"
"assessment:SCI-EN-PDF-01:r2","SCI-EN-PDF-01","assessment_generation","INVALID_OUTPUT","true","58452","operation rejected atomically"
"assessment:SCI-EN-PDF-01:r3","SCI-EN-PDF-01","assessment_generation","INVALID_OUTPUT","true","35177","operation rejected atomically"
"assessment:SCI-MIX-PASTE-02:r1","SCI-MIX-PASTE-02","assessment_generation","INVALID_OUTPUT","true","84810","operation rejected atomically"
"assessment:VOC-EN-PASTE-01:r1","VOC-EN-PASTE-01","assessment_generation","INVALID_OUTPUT","true","31327","operation rejected atomically"
"assessment:VOC-EN-PASTE-01:r2","VOC-EN-PASTE-01","assessment_generation","INVALID_OUTPUT","true","46793","operation rejected atomically"
"assessment:VOC-MIX-IMG-01:r1","VOC-MIX-IMG-01","assessment_generation","INVALID_OUTPUT","true","75994","operation rejected atomically"
"assessment:VOC-MIX-IMG-01:r2","VOC-MIX-IMG-01","assessment_generation","INVALID_OUTPUT","true","38253","operation rejected atomically"
"revision:SCI-MIX-PASTE-02","SCI-MIX-PASTE-02","revision_retry_generation","INVALID_OUTPUT","true","92463","operation rejected atomically"
