"metric","count","denominator","percentage","status"
"extraction.page_success","12","12","100","measured"
"extraction.routing_accuracy","12","12","100","measured"
"extraction.material_correction_pages","2","12","16.67","measured"
"questions.deterministic_grounding","24","24","100","measured"
"questions.deterministic_key_validity","24","24","100","measured"
"questions.duplicates","3","24","12.5","measured"
"questions.human_accepted","0","0","","pending_human_review"
"questions.human_grounded_accepted","0","0","","pending_human_review"
"questions.human_correct_keys","0","0","","pending_human_review"
"questions.human_ambiguous","0","0","","pending_human_review"
"written.exact_agreement","0","0","","pending_human_review"
"written.within_one_mark","0","0","","pending_human_review"
"written.status_agreement","0","0","","pending_human_review"
"reliability.first_pass_valid","18","45","40","measured"
"reliability.final_valid","24","45","53.33","measured"
"reliability.repair_rate","14","45","31.11","measured"
"reliability.repair_success","6","14","42.86","measured"
"adaptive.valid","2","6","33.33","measured"
"baseline.parse_success","9","9","100","measured"
"baseline.evidence_transparency","42","42","100","measured"
