"operationId","materialId","operationType","failureCategory","repairAttempted","latencyMs","publicImpact"
"analysis:CIV-BN-IMG-01","CIV-BN-IMG-01","analysis","RATE_LIMITED","true","86141","dependent structured path unavailable"
"analysis:VOC-EN-PASTE-02","VOC-EN-PASTE-02","analysis","TIMEOUT","false","90026","dependent structured path unavailable"
"assessment:CIV-BN-IMG-01:r1","CIV-BN-IMG-01","assessment_generation","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"assessment:CIV-BN-IMG-01:r2","CIV-BN-IMG-01","assessment_generation","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"assessment:CIV-BN-IMG-01:r3","CIV-BN-IMG-01","assessment_generation","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"assessment:CIV-BN-PASTE-02:r1","CIV-BN-PASTE-02","assessment_generation","INVALID_OUTPUT","true","33547","operation rejected atomically"
"assessment:CIV-BN-PASTE-02:r2","CIV-BN-PASTE-02","assessment_generation","INVALID_OUTPUT","true","7732","operation rejected atomically"
"assessment:CIV-MIX-PDF-01:r1","CIV-MIX-PDF-01","assessment_generation","INVALID_OUTPUT","true","11241","operation rejected atomically"
"assessment:CIV-MIX-PDF-01:r2","CIV-MIX-PDF-01","assessment_generation","INVALID_OUTPUT","true","10293","operation rejected atomically"
"assessment:SCI-BN-PASTE-01:r3","SCI-BN-PASTE-01","assessment_generation","INVALID_OUTPUT","true","10168","operation rejected atomically"
"assessment:VOC-EN-PASTE-02:r1","VOC-EN-PASTE-02","assessment_generation","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"assessment:VOC-EN-PASTE-02:r2","VOC-EN-PASTE-02","assessment_generation","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"assessment:VOC-MIX-IMG-01:r1","VOC-MIX-IMG-01","assessment_generation","INVALID_OUTPUT","true","8917","operation rejected atomically"
"assessment:VOC-MIX-IMG-01:r2","VOC-MIX-IMG-01","assessment_generation","INVALID_OUTPUT","true","8773","operation rejected atomically"
"revision:CIV-BN-IMG-01","CIV-BN-IMG-01","revision_retry_generation","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"written:CIV-BN-IMG-01:missing_key_concept","CIV-BN-IMG-01","written_grading","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"written:CIV-BN-IMG-01:unsupported_claim","CIV-BN-IMG-01","written_grading","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"written:CIV-MIX-PDF-01:correct","CIV-MIX-PDF-01","written_grading","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"written:CIV-MIX-PDF-01:partially_correct","CIV-MIX-PDF-01","written_grading","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"written:VOC-MIX-IMG-01:missing_key_concept","VOC-MIX-IMG-01","written_grading","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"written:VOC-MIX-IMG-01:unsupported_claim","VOC-MIX-IMG-01","written_grading","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
