"operationId","materialId","operationType","failureCategory","repairAttempted","latencyMs","publicImpact"
"analysis:CIV-BN-PASTE-02","CIV-BN-PASTE-02","analysis","RATE_LIMITED","true","87407","dependent structured path unavailable"
"analysis:VOC-MIX-IMG-01","VOC-MIX-IMG-01","analysis","TIMEOUT","false","90009","dependent structured path unavailable"
"assessment:CIV-BN-PASTE-02:r1","CIV-BN-PASTE-02","assessment_generation","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"assessment:CIV-BN-PASTE-02:r2","CIV-BN-PASTE-02","assessment_generation","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"assessment:CIV-MIX-PDF-01:r1","CIV-MIX-PDF-01","assessment_generation","INVALID_OUTPUT","true","11267","operation rejected atomically"
"assessment:CIV-MIX-PDF-01:r2","CIV-MIX-PDF-01","assessment_generation","INVALID_OUTPUT","true","10465","operation rejected atomically"
"assessment:VOC-MIX-IMG-01:r1","VOC-MIX-IMG-01","assessment_generation","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"assessment:VOC-MIX-IMG-01:r2","VOC-MIX-IMG-01","assessment_generation","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"written:CIV-MIX-PDF-01:correct","CIV-MIX-PDF-01","written_grading","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"written:CIV-MIX-PDF-01:partially_correct","CIV-MIX-PDF-01","written_grading","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"written:VOC-MIX-IMG-01:missing_key_concept","VOC-MIX-IMG-01","written_grading","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"written:VOC-MIX-IMG-01:unsupported_claim","VOC-MIX-IMG-01","written_grading","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
