"operationId","materialId","operationType","failureCategory","repairAttempted","latencyMs","publicImpact"
"analysis:CIV-BN-PASTE-02","CIV-BN-PASTE-02","analysis","EVIDENCE_INVALID","true","27160","dependent structured path unavailable"
"analysis:VOC-EN-PASTE-02","VOC-EN-PASTE-02","analysis","EVIDENCE_INVALID","true","30147","dependent structured path unavailable"
"analysis:VOC-MIX-IMG-01","VOC-MIX-IMG-01","analysis","EVIDENCE_INVALID","true","72335","dependent structured path unavailable"
"assessment:CIV-BN-IMG-01:r1","CIV-BN-IMG-01","assessment_generation","INVALID_OUTPUT","true","40399","operation rejected atomically"
"assessment:CIV-BN-IMG-01:r2","CIV-BN-IMG-01","assessment_generation","INVALID_OUTPUT","true","62366","operation rejected atomically"
"assessment:CIV-BN-IMG-01:r3","CIV-BN-IMG-01","assessment_generation","INVALID_OUTPUT","true","76790","operation rejected atomically"
"assessment:CIV-MIX-PDF-01:r1","CIV-MIX-PDF-01","assessment_generation","INVALID_OUTPUT","true","43992","operation rejected atomically"
"assessment:CIV-MIX-PDF-01:r2","CIV-MIX-PDF-01","assessment_generation","INVALID_OUTPUT","true","69371","operation rejected atomically"
"assessment:VOC-EN-PASTE-01:r1","VOC-EN-PASTE-01","assessment_generation","INVALID_OUTPUT","true","58903","operation rejected atomically"
"assessment:VOC-EN-PASTE-01:r2","VOC-EN-PASTE-01","assessment_generation","INVALID_OUTPUT","true","60138","operation rejected atomically"
"revision:SCI-BN-PASTE-01","SCI-BN-PASTE-01","revision_retry_generation","INVALID_OUTPUT","true","129347","operation rejected atomically"
"revision:SCI-EN-PDF-01","SCI-EN-PDF-01","revision_retry_generation","INVALID_OUTPUT","true","88149","operation rejected atomically"
